"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"DDD","3D Systems Corporation","13.11","1491921264.39","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","217.59","129850563515.73","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","11.1","452520559.8","n/a","2013","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/wbai",
"WUBA","58.com Inc.","65.33","9510380386.42","n/a","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wuba",
"AHC","A.H. Belo Corporation","4.5","97889247","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"ATEN","A10 Networks, Inc.","7.62","539238786.9","n/a","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/aten",
"AAC","AAC Holdings, Inc.","7.72","185750055.36","n/a","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aac",
"AIR","AAR Corp.","38.59","1336066568.87","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","42.46","3081674660.46","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","25.04","53435251476.64","n/a","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","54.71","95055520973.44","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","91.42","145732137291.16","n/a","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","13.02","886493872.74","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"GCH","Aberdeen Greater China Fund, Inc.","12.2","107564886.8","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/gch",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","8.87","118660128.04","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/jeq",
"SGF","Aberdeen Singapore Fund, Inc.","12.37","91772386.76","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/sgf",
"ABM","ABM Industries Incorporated","43.3","2820384816.4","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","30.25","2530695428.25","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"ACN","Accenture plc","139.2","89505600000","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","12.9","1404086451.9","n/a","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco",
"ATV","Acorn International, Inc.","14.1","37806358.2","n/a","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/atv",
"ATU","Actuant Corporation","26.15","1561052622.75","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"AYI","Acuity Brands Inc","165.44","6963915221.12","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ayi",
"GOLF","Acushnet Holdings Corp.","17.73","1320033552.21","n/a","2016","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/golf",
"ADX","Adams Diversified Equity Fund, Inc.","15.46","1527959633.24","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","19.62","560171581.38","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/peo",
"AGRO","Adecoagro S.A.","10.48","1266028236.08","n/a","2011","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro",
"ADNT","Adient plc","84.25","7845926328.5","n/a","2016","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/adnt",
"ATGE","Adtalem Global Education Inc.","35.4","2180660355","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/atge",
"AAP","Advance Auto Parts Inc","86.56","6393545617.28","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/aap",
"ADSW","Advanced Disposal Services, Inc.","24.74","2185960294.72","n/a","2016","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/adsw",
"WMS","Advanced Drainage Systems, Inc.","19.65","1085586808.2","n/a","2014","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/wms",
"ASX","Advanced Semiconductor Engineering, Inc.","6.38","10557044753.42","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx",
"ASIX","AdvanSix Inc.","44.2","1347347097.2","n/a","2016","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/asix",
"AAV","Advantage Oil & Gas Ltd","5.6","1041388964","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"AVK","Advent Claymore Convertible Securities and Income Fund","16.27","326111731.15","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/avk",
"AGC","Advent Claymore Convertible Securities and Income Fund II","6.21","169951206.24","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/agc",
"LCM","Advent/Claymore Enhanced Growth & Income Fund","8.69","79791936.29","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/lcm",
"ACM","AECOM","35.94","5632184534.7","n/a","2007","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acm",
"ANW","Aegean Marine Petroleum Network Inc.","4.45","180820952.9","n/a","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"AEB","Aegon NV","24.45","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","26.22","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","5.67","11605742688.33","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.77","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","26.38","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek",
"AER","Aercap Holdings N.V.","52.06","8507573669.56","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer",
"HIVE","Aerohive Networks, Inc.","4.11","221420779.59","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/hive",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","35.31","2651781000","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/ajrd",
"AET","Aetna Inc.","154.49","51306129000","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aet",
"AMG","Affiliated Managers Group, Inc.","193.76","10842877416","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amg",
"AFL","Aflac Incorporated","83.94","33175530570.06","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afl",
"AFSD","Aflac Incorporated","25.13","0","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afsd",
"MITT","AG Mortgage Investment Trust, Inc.","19.31","537367195.71","n/a","2011","n/a","n/a","http://www.nasdaq.com/symbol/mitt",
